,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
342,2019-07-11,59.60093965634557,53.80844682169203,63.57876381502385,59.60093965634557,59.60093965634557,-0.7756900274738434,-0.7756900274738434,-0.7756900274738434,0.1070003456781025,0.1070003456781025,0.1070003456781025,-0.882690373151946,-0.882690373151946,-0.882690373151946,0.0,0.0,0.0,58.825249628871724
343,2019-07-12,59.631771880189724,54.468884005081655,63.834982080086164,59.631771880189724,59.631771880189724,-0.7086384120662749,-0.7086384120662749,-0.7086384120662749,0.03615472619681615,0.03615472619681615,0.03615472619681615,-0.744793138263091,-0.744793138263091,-0.744793138263091,0.0,0.0,0.0,58.92313346812345
344,2019-07-15,59.724268551722176,54.36746740352764,64.47986090927051,59.724268551722176,59.724268551722176,-0.3516138963978988,-0.3516138963978988,-0.3516138963978988,-0.0318428782342246,-0.0318428782342246,-0.0318428782342246,-0.31977101816367415,-0.31977101816367415,-0.31977101816367415,0.0,0.0,0.0,59.372654655324276
345,2019-07-16,59.75510077556633,54.73617529457645,64.3780264677469,59.75510077556633,59.75510077556633,-0.2472550635122897,-0.2472550635122897,-0.2472550635122897,-0.06987296714142442,-0.06987296714142442,-0.06987296714142442,-0.17738209637086527,-0.17738209637086527,-0.17738209637086527,0.0,0.0,0.0,59.50784571205404
346,2019-07-17,59.78593299941048,54.57751314766928,64.57109266762939,59.78593299941048,59.78593299941048,0.03839246642165051,0.03839246642165051,0.03839246642165051,0.07456471845091171,0.07456471845091171,0.07456471845091171,-0.0361722520292612,-0.0361722520292612,-0.0361722520292612,0.0,0.0,0.0,59.824325465832125
347,2019-07-18,59.816765223254635,54.83262877751006,65.18120198205364,59.816765223254635,59.816765223254635,0.2099599121987383,0.2099599121987383,0.2099599121987383,0.10700034567825834,0.10700034567825834,0.10700034567825834,0.10295956652048,0.10295956652048,0.10295956652048,0.0,0.0,0.0,60.026725135453376
348,2019-07-19,59.847597447098785,54.976561983507665,65.31187330752294,59.847597447098785,59.847597447098785,0.2753024505534847,0.2753024505534847,0.2753024505534847,0.03615472619654387,0.03615472619654387,0.03615472619654387,0.2391477243569408,0.2391477243569408,0.2391477243569408,0.0,0.0,0.0,60.12289989765227
349,2019-07-22,59.940094118631244,55.21773232672669,65.27370333428885,59.940094118631244,59.940094118631244,0.5903204511433908,0.5903204511433908,0.5903204511433908,-0.031842878234224346,-0.031842878234224346,-0.031842878234224346,0.6221633293776151,0.6221633293776151,0.6221633293776151,0.0,0.0,0.0,60.530414569774635
350,2019-07-23,59.97092634247539,55.68015514131711,65.7030445960112,59.97092634247539,59.97092634247539,0.6691602272607213,0.6691602272607213,0.6691602272607213,-0.0698729671414769,-0.0698729671414769,-0.0698729671414769,0.7390331944021983,0.7390331944021983,0.7390331944021983,0.0,0.0,0.0,60.640086569736106
351,2019-07-24,60.001758566319545,55.9284687414975,65.9536166519907,60.001758566319545,60.001758566319545,0.924135896833796,0.924135896833796,0.924135896833796,0.07456471845073823,0.07456471845073823,0.07456471845073823,0.8495711783830578,0.8495711783830578,0.8495711783830578,0.0,0.0,0.0,60.92589446315334
352,2019-07-25,60.0325907901637,56.305472411496865,66.42764058500215,60.0325907901637,60.0325907901637,1.0603677153439266,1.0603677153439266,1.0603677153439266,0.10700034567820024,0.10700034567820024,0.10700034567820024,0.9533673696657264,0.9533673696657264,0.9533673696657264,0.0,0.0,0.0,61.09295850550763
353,2019-07-26,60.063423014007846,56.368458928104104,66.12217646201744,60.063423014007846,60.063423014007846,1.0862774222496951,1.0862774222496951,1.0862774222496951,0.036154726196559,0.036154726196559,0.036154726196559,1.0501226960531362,1.0501226960531362,1.0501226960531362,0.0,0.0,0.0,61.14970043625754
354,2019-07-29,60.1559196855403,56.28586933317224,66.22266770232274,60.1559196855403,60.1559196855403,1.2650863080778578,1.2650863080778578,1.2650863080778578,-0.031842878234255606,-0.031842878234255606,-0.031842878234255606,1.2969291863121135,1.2969291863121135,1.2969291863121135,0.0,0.0,0.0,61.42100599361815
355,2019-07-30,60.186751909384455,56.15907997517091,66.61138717746057,60.186751909384455,60.186751909384455,1.2950434168491063,1.2950434168491063,1.2950434168491063,-0.06987296714146164,-0.06987296714146164,-0.06987296714146164,1.3649163839905678,1.3649163839905678,1.3649163839905678,0.0,0.0,0.0,61.48179532623356
356,2019-07-31,60.217584133228605,56.528009708732256,67.26553646791038,60.217584133228605,60.217584133228605,1.5007319657996256,1.5007319657996256,1.5007319657996256,0.07456471845081963,0.07456471845081963,0.07456471845081963,1.4261672473488058,1.4261672473488058,1.4261672473488058,0.0,0.0,0.0,61.71831609902823
