,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
601,2020-07-21,106.1218079455696,63.24449566163921,130.58248534682136,106.1218079455696,106.1218079455696,-7.793947765309657,-7.793947765309657,-7.793947765309657,0.8452240310623916,0.8452240310623916,0.8452240310623916,-8.639171796372048,-8.639171796372048,-8.639171796372048,0.0,0.0,0.0,98.32786018025995
602,2020-07-22,106.68513579455906,67.98971944369428,130.8075745761198,106.68513579455906,106.68513579455906,-7.468704130895076,-7.468704130895076,-7.468704130895076,0.9487468804394833,0.9487468804394833,0.9487468804394833,-8.41745101133456,-8.41745101133456,-8.41745101133456,0.0,0.0,0.0,99.21643166366398
603,2020-07-23,107.24846364354843,69.45931635493058,133.87321307585665,107.24846364354843,107.24846364354843,-7.666481381750041,-7.666481381750041,-7.666481381750041,0.4901552135576405,0.4901552135576405,0.4901552135576405,-8.15663659530768,-8.15663659530768,-8.15663659530768,0.0,0.0,0.0,99.58198226179839
604,2020-07-24,107.81523485865644,68.5692034161215,129.68533242439574,107.81523485865644,107.81523485865644,-7.8721023410996125,-7.8721023410996125,-7.8721023410996125,-0.022976765063630233,-0.022976765063630233,-0.022976765063630233,-7.8491255760359815,-7.8491255760359815,-7.8491255760359815,0.0,0.0,0.0,99.94313251755682
605,2020-07-27,109.51554850398036,73.18429824846457,136.5129691673963,109.51554850398036,109.51554850398036,-4.7713200806934974,-4.7713200806934974,-4.7713200806934974,1.822890608938652,1.822890608938652,1.822890608938652,-6.594210689632149,-6.594210689632149,-6.594210689632149,0.0,0.0,0.0,104.74422842328686
606,2020-07-28,110.08231971908826,72.20731708624376,140.71019975595792,110.08231971908826,110.08231971908826,-5.2118790197486184,-5.2118790197486184,-5.2118790197486184,0.8452240310671294,0.8452240310671294,0.8452240310671294,-6.057103050815749,-6.057103050815749,-6.057103050815749,0.0,0.0,0.0,104.87044069933964
607,2020-07-29,110.64909093419627,72.55101104475997,138.2844888384463,110.64909093419627,110.64909093419627,-4.5129852078539665,-4.5129852078539665,-4.5129852078539665,0.9487468804359731,0.9487468804359731,0.9487468804359731,-5.461732088289939,-5.461732088289939,-5.461732088289939,0.0,0.0,0.0,106.1361057263423
608,2020-07-30,111.21586214930417,75.19979385003863,138.9109366837286,111.21586214930417,111.21586214930417,-4.321794375536489,-4.321794375536489,-4.321794375536489,0.49015521355480274,0.49015521355480274,0.49015521355480274,-4.811949589091291,-4.811949589091291,-4.811949589091291,0.0,0.0,0.0,106.89406777376769
609,2020-07-31,111.78263336441218,75.13477986649913,141.46288436872427,111.78263336441218,111.78263336441218,-4.13662425939449,-4.13662425939449,-4.13662425939449,-0.022976765061683786,-0.022976765061683786,-0.022976765061683786,-4.113647494332807,-4.113647494332807,-4.113647494332807,0.0,0.0,0.0,107.64600910501768
610,2020-08-03,113.482947009736,82.79137320989089,147.74778983802017,113.482947009736,113.482947009736,0.009180449262984707,0.009180449262984707,0.009180449262984707,1.822890608939152,1.822890608939152,1.822890608939152,-1.813710159676167,-1.813710159676167,-1.813710159676167,0.0,0.0,0.0,113.49212745899898
611,2020-08-04,114.049718224844,81.67864651800886,147.3013077875117,114.049718224844,114.049718224844,-0.16953871387546104,-0.16953871387546104,-0.16953871387546104,0.8452240310664845,0.8452240310664845,0.8452240310664845,-1.0147627449419456,-1.0147627449419456,-1.0147627449419456,0.0,0.0,0.0,113.88017951096855
612,2020-08-05,114.6164894399519,84.55251010026471,147.95857268904712,114.6164894399519,114.6164894399519,0.7284815570657347,0.7284815570657347,0.7284815570657347,0.9487468804378226,0.9487468804378226,0.9487468804378226,-0.22026532337208785,-0.22026532337208785,-0.22026532337208785,0.0,0.0,0.0,115.34497099701764
613,2020-08-06,115.18326065505991,84.09789181808853,147.6621041677943,115.18326065505991,115.18326065505991,1.0467948866565757,1.0467948866565757,1.0467948866565757,0.49015521355598185,0.49015521355598185,0.49015521355598185,0.5566396731005938,0.5566396731005938,0.5566396731005938,0.0,0.0,0.0,116.23005554171648
